kind	word	levels	forms	occurrences
SAFE	whilst	conjunction:c1	whilst	act2-speech-0204 | CHRISTOPHER | whilst | We needn't go into that. I ran away whilst I was doing my Army service. It was all so beastly ― I hated it. Yes, I'm just like the unknown murderer. I told you I was the one the specification fitted. You see, my mother my mother... || act2-speech-0286 | GILES | whilst | Whilst I was safely away racing round the countryside. || act2-speech-0287 | MOLLIE | whilst | Whilst you were racing round the country-side...
SAFE	wire	noun:b2	wire	act2-speech-0237 | MOLLIE | wire | But he wasn't. He went off in the car to look for chicken wire, but he couldn't find any.
SAFE	wise	adjective:b2	wise	act2-speech-0377 | PARAVICINI | wise | He is very wise. Take no chances. Can I prove to you or to him or to our dogged Sergeant that I am not a homicidal maniac? So difficult to prove a negative. And suppose that instead I am really...
SAFE	wonder	noun:b1,verb:b1	wonder,wondering	act2-speech-0387 | PARAVICINI | wonder | Now I do wonder what you mean by that, Sergeant? || act2-speech-0388 | TROTTER | wondering | I've been doing a little wondering about you, sir. || act2-speech-0390 | TROTTER | wondering | I've been wondering about that car of yours, and how it happened to overturn in a snowdrift so conveniently.
AMBIG	address	noun:a1,verb:b2	address	act2-speech-0396 | TROTTER | address | And what was the name and address of this friend? || act2-speech-0412 | TROTTER | address | What address in London? || act2-speech-0414 | TROTTER | address | Very nice, too, I'm sure. What is your permanent address?
AMBIG	back	adjective:a2,adverb:a1,noun:a1,verb:b2	back	act2-speech-0291 | MOLLIE | back | So did you. You brought back an evening paper. || act2-speech-0320 | TROTTER | back | Mr. Ralston ― Mrs. Ralston ― have you removed my skis from the cupboard back there where we put them? || act2-speech-0351 | MISS CASEWELL | back | By the back stairs.
AMBIG	bear	noun:a2,verb:b2	bear	act2-speech-0207 | MOLLIE | bear | You can't go on being looked after all your life. Things happen to you. And you've got to bear them ― you've got to go on just as usual.
AMBIG	but	conjunction:a1,preposition:b2	but	act2-speech-0190 | CHRISTOPHER | but | But, darling, they're all so frightfully against me. They're going to say I committed these murders ― particularly your husband. || act2-speech-0235 | MOLLIE | but | What is it? Yesterday's evening paper ― a London paper. And it was in Giles's pocket. But Giles didn't go to London yesterday. || act2-speech-0237 | MOLLIE | but | But he wasn't. He went off in the car to look for chicken wire, but he couldn't find any. || act2-speech-0250 | CHRISTOPHER | but | But really, look here... || act2-speech-0307 | MOLLIE | but | Perhaps you never did know me. We've been married how long ― a year? But you don't really know anything about me. What I'd done or thought or felt or suffered before you knew me. || act2-speech-0315 | PARAVICINI | but | No, no, no business at all. But I just came in to say that the Sergeant cannot find his skis and I'm afraid he is very annoyed. || act2-speech-0325 | PARAVICINI | but | And now you can't ― dear, dear...Somebody's seen to it that you certainly shan't do that. But there could be another reason, couldn't there? || act2-speech-0372 | TROTTER | but | Yes, Miss Casewell. I do. Three blind mice. Two mice cancelled out ― a third mouse still to be dealt with. There are six of you here listening to me. One of you's a killer! One of you's a killer. I don't know which yet, but I shall. And another of you is the killer's prospective victim. That's the person I'm speaking to. Mrs. Boyle held out on me ― Mrs. Boyle is dead. You ― whoever you are ― are holding out on me. Well ― don't. Because you're in danger. Nobody who's killed twice is going to hesitate to kill a third time. And as it is, I don't know which of you it is who needs protection. Come on, now, anybody here who has anything, however slight, to reproach themselves for in that bygone business, had better come out with it. All right ― you won't. I'll get the killer ― I've no doubt of that ― but it may be too late for one of you. And I'll tell you another thing. The killer's enjoying this. Yes, he's enjoying himself a good deal... All right ― you can go. || act2-speech-0379 | PARAVICINI | but | But such a gay little tune? Don't you think? She cut off their tails with a carving knife ― snick, snick, snick ― delicious. Just what a child would adore. Cruel little things, children. Some of them never grow up. || act2-speech-0381 | MOLLIE | but | It's silly of me. But you see ― I found her. Her face was all purple. I can't forget it... || act2-speech-0401 | PARAVICINI | but | But there might be ― so many reasons. An amour ― discretion. These jealous husbands. || act2-speech-0420 | TROTTER | but | Enjoying this little game, aren't you? Sure of yourself, too. But I shouldn't be too sure. You're mixed up in a murder case, and don't you forget it. Murder isn't just fun and games.
AMBIG	cut	noun:b1,verb:a1	cut	act2-speech-0379 | PARAVICINI | cut | But such a gay little tune? Don't you think? She cut off their tails with a carving knife ― snick, snick, snick ― delicious. Just what a child would adore. Cruel little things, children. Some of them never grow up.
AMBIG	driving	adjective:c1,noun:a2	driving	act2-speech-0239 | MOLLIE | driving | Then why shouldn't he tell me he did? Why pretend he'd been driving all round the countryside?
AMBIG	even	adjective:b2,adverb:a1	even,evening	act2-speech-0235 | MOLLIE | evening | What is it? Yesterday's evening paper ― a London paper. And it was in Giles's pocket. But Giles didn't go to London yesterday. || act2-speech-0291 | MOLLIE | evening | So did you. You brought back an evening paper. || act2-speech-0421 | PARAVICINI | even | Not even this murder? Dear me, you're very serious, Sergeant Trotter. I always have thought policemen have no sense of humour. Is the inquisition over ― for the moment?
AMBIG	face	noun:a1,verb:b1	face,faces,facing	act2-speech-0218 | CHRISTOPHER | facing | So ― you're running away, too. Running away from things ― instead of facing them? || act2-speech-0243 | MOLLIE | faces | I don't know what the Sergeant thinks. And he can make you think things about people. You ask yourself questions and you begin to doubt. You feel that somebody you love and know well might be ― a stranger. That's what happens in a nightmare. You're somewhere in the middle of friends and then you suddenly look at their faces and they're not your friends any longer ― they're different people ― just pretending. Perhaps you can't trust anybody ― perhaps everybody's a stranger. || act2-speech-0381 | MOLLIE | face | It's silly of me. But you see ― I found her. Her face was all purple. I can't forget it...
AMBIG	far	adjective:b1,adverb:a1	far	act2-speech-0263 | CHRISTOPHER | far | I shan't be far away. || act2-speech-0395 | PARAVICINI | far | Not so very far from here.
AMBIG	fear	noun:a2,verb:b1	fears	act2-speech-0375 | PARAVICINI | fears | Your husband is afraid for you. Quite natural under the circumstances. He doesn't fancy your being alone with me. It is my sadistic tendencies he fears ― not my dishonourable ones. Alas, what an inconvenience the husband always is. Arrivederlà...
AMBIG	feel	noun:b2,verb:a1	feel	act2-speech-0243 | MOLLIE | feel | I don't know what the Sergeant thinks. And he can make you think things about people. You ask yourself questions and you begin to doubt. You feel that somebody you love and know well might be ― a stranger. That's what happens in a nightmare. You're somewhere in the middle of friends and then you suddenly look at their faces and they're not your friends any longer ― they're different people ― just pretending. Perhaps you can't trust anybody ― perhaps everybody's a stranger. || act2-speech-0306 | GILES | feel | Mollie, what's come over you? You're different all of a sudden. I feel as though I don't know you any more. || act2-speech-0313 | PARAVICINI | feel | Quite so. Quite so. I know just how you feel. I have been through all this myself when I was a younger man. Jeunesse ― jeunesse ― as the poet says. Not been married long, I imagine?
AMBIG	hand	noun:a1,verb:b1	hand	act2-speech-0246 | CHRISTOPHER | hand | I'll come and give you a hand.
AMBIG	hate	noun:b1,verb:a1	hate,hated	act2-speech-0204 | CHRISTOPHER | hated | We needn't go into that. I ran away whilst I was doing my Army service. It was all so beastly ― I hated it. Yes, I'm just like the unknown murderer. I told you I was the one the specification fitted. You see, my mother my mother... || act2-speech-0227 | MOLLIE | hate | No, he doesn't. At least ― I don't know what he thinks. I hate him ― I hate him ― I hate him...
AMBIG	house	noun:a1,verb:b2	house	act2-speech-0186 | CHRISTOPHER | house | If only I could get away. Somehow ― some way. Is there anywhere I could hide ― in the house? || act2-speech-0253 | GILES | house | I've already said so, haven't I? There's a killer loose in this house ― and it seems to me you fit the bill.
AMBIG	leave	noun:b2,verb:a1	leave	act2-speech-0258 | CHRISTOPHER | leave | So am I. I'm not going to leave you here alone with her.
AMBIG	like	noun:b1,preposition:a1,verb:a1	like	act2-speech-0204 | CHRISTOPHER | like | We needn't go into that. I ran away whilst I was doing my Army service. It was all so beastly ― I hated it. Yes, I'm just like the unknown murderer. I told you I was the one the specification fitted. You see, my mother my mother... || act2-speech-0225 | MOLLIE | like | That would be frightfully stupid. It would be almost like admitting you're guilty. || act2-speech-0274 | GILES | like | Rather odd, isn't it, that he should come and stay at an out-of-the-way place like this? || act2-speech-0398 | TROTTER | like | We always like the fullest information. What did you say this friend's name was?
