THE MOUSETRAP — A2+ ADDITION CANDIDATES — PART 2 / 292-582
Scope: global speeches 292-582 (291 speeches)
Policy: screening list, not official CEFR certification. Clear A1/basic items are excluded; uncertain content words are kept to minimize omissions.
Dictionary definitions are NOT created in this phase. Existing vocabulary/dictionary data are NOT modified.

PIPELINE
1. Extracted non-A1 candidate occurrences: 1156
2. After normalized/headword deduplication: 552
3. After removing already-implemented dictionary/vocabulary items: 267

FINAL ADDITION CANDIDATES
word	occurrences	firstSpeechId	surfaceForms
talk	4	act1-scene2-speech-0114	talk, talking
thank	3	act1-scene2-speech-0146	thank
that'll	1	act1-scene2-speech-0243	that'll
themselve	1	act1-scene2-speech-0149	themselves
they'd	1	act1-scene2-speech-0317	they'd
tidy	1	act2-speech-0035	tidy
tour	2	act1-scene2-speech-0247	tour
tried	1	act1-scene2-speech-0301	tried
twenty	5	act1-scene2-speech-0179	twenty
understand	2	act1-scene2-speech-0177	understand
unhappy	1	act1-scene2-speech-0269	unhappy
upstair	5	act1-scene2-speech-0294	upstairs
wait	1	act1-scene2-speech-0241	wait
warmer	1	act1-scene2-speech-0119	warmer
weather	1	act1-scene2-speech-0195	weather
welcome	1	act1-scene2-speech-0107	welcome
welfare	1	act1-scene2-speech-0254	welfare
well	11	act1-scene2-speech-0119	well
west	1	act1-scene2-speech-0179	west
whistling	2	act2-speech-0054	whistling
who'd	1	act2-speech-0004	who'd
whole	3	act1-scene2-speech-0200	whole
wider	1	act2-speech-0020	wider
winter	1	act1-scene2-speech-0149	winter
wonderful	1	act1-scene2-speech-0204	wonderful
worker	1	act1-scene2-speech-0254	workers
worry	1	act1-scene2-speech-0326	worries
write	1	act1-scene2-speech-0134	write
written	3	act1-scene2-speech-0191	written
wrote	2	act1-scene2-speech-0309	wrote
youngest	1	act1-scene2-speech-0209	youngest
yourself	3	act1-scene2-speech-0107	yourself
yourselve	1	act1-scene2-speech-0103	yourselves

NOTE
- This is deliberately over-inclusive. Final dictionary-writing pass should manually reject proper names, OCR/tokenization artifacts, and words that are actually A1 in the relevant sense.
- Polysemy must be judged by the sense used in the play; an A1-looking word can still remain if the play uses a harder sense.

